FILE_NAME,BLOBS_AREA_MEAN,BLOBS_AREA_STDEV,BLOBS_AREA_SUM,BLOBS_AREA_VARIANCE,BLOBS_BRIGHTNESS_MAX,BLOBS_BRIGHTNESS_MEAN,BLOBS_BRIGHTNESS_MIN,BLOBS_BRIGHTNESS_STDEV,BLOBS_COUNT,MAXBLOB_ANGLE,MAXBLOB_AREA,MAXBLOB_CIRCULARITY,MAXBLOB_CONVEXHULL_AREA,MAXBLOB_CONVEXHULL_PERIMETER,MAXBLOB_EQUIVALENT_DIAMETER,MAXBLOB_LENGTH_1ST,MAXBLOB_LENGTH_2ND,MAXBLOB_LENGTH_RATIO,MAXBLOB_PERIMETER,MAXBLOB_ROUGHNESS,MAXBLOB_SOLIDITY
18850_T5A46AS09RB_TCAOH310_28_536.515_315.842__M_20161204_221616.jpg,173.875,97.154,695.5,9438.9,169,65.4158,19,43.935,4,0,318,0.808948,327.5,67.9108,20.1219,25,16,1.5625,70.2843,1.03495,0.970992
18850_T5A46BB0GDB_TCAOH310_24_77.405_112.591_O_L_20161207_221443.jpg,79.8571,44.6996,1118,1998.05,179,59.3237,29,42.4074,14,0,190.5,0.819687,200,51.7605,15.5741,18,14,1.28571,54.0416,1.04407,0.9525
18850_T5A46BB0GDB_TCAOH310_47_465.473_473.984_O_M_20161207_221506.jpg,97.5833,38.858,585.5,1509.94,177,81.8435,31,48.0048,6,-64.6538,150,0.34477,220,63.4363,13.8198,26.3511,10.5119,2.50679,73.9411,1.1656,0.681818
18850_T5A46BB0GMB_TCAOH310_8_-425.919_260.200_O_M_20161207_221944.jpg,192.9,219.383,964.5,48128.9,152,55.16,27,36.1613,5,0,568.5,0.721633,618,90.9823,26.9042,29,28,1.03571,99.4975,1.09359,0.919903
18850_T5A46BB0GTB_TCAOH310_30_38.219_-110.903_O_L_20161207_223016.jpg,1559.83,304.658,4679.5,92816.3,125,30.1605,15,10.3512,3,-29.0546,1907.5,0.69858,1967.5,174.651,49.2819,72.4579,34.772,2.0838,185.238,1.06062,0.969504
18850_T5A46BH0K6B_TCAOH310_33_-522.089_-196.150__L_20161202_073708.jpg,717.5,294.003,2152.5,86437.8,146,33.7605,18,18.41,3,0,960,0.81398,996,114.205,34.9615,37,33,1.12121,121.74,1.06598,0.963855
18850_T5A46BH0KCB_TCAOH310_49_327.173_273.979__M_20161202_075343.jpg,138.75,123.39,277.5,15225.1,88,79.4214,68,4.90076,2,-14.0362,226,0.781466,238.5,56.6547,16.9633,18.6752,16.2499,1.14925,60.2843,1.06406,0.947589
18850_T5A46BJ0K7B_TCAOH110_46_136.033_468.792__M_20161204_213707.jpg,231,0,231,0,168,159.287,150,3.87222,1,0,231,0.644484,262,60.268,17.1499,20,16,1.25,67.1127,1.11357,0.881679
18850_T5A46BN0F2B_TCAOH310_17_587.025_-319.449__L_20161202_050845.jpg,2548.5,0,2548.5,0,144,52.2008,21,25.1864,1,-22.3287,2548.5,0.157069,4058,243.609,56.9636,88.9175,52.1315,1.70564,451.546,1.85357,0.628019
18850_T5A46BN0F4B_TCAOH310_0_581.084_-150.740__L_20161202_051422.jpg,174.269,137.921,2265.5,19022.3,174,57.8496,28,37.1853,13,0,436,0.741813,456.5,80.8662,23.5612,28,20,1.4,85.9411,1.06276,0.955093
